,OTU_ID,Closeness_RAW,Date,Sample_type,Genotype,CLose_log,combine
1022,Otu601,1.89E-05,4,Soil near roots,RNAi,-4.723636248,4Soil near rootsRNAi
1023,Otu1523,1.90E-05,4,Soil near roots,RNAi,-4.720523131,4Soil near rootsRNAi
1024,Otu460,1.56E-06,4,Soil near roots,RNAi,-5.80780756,4Soil near rootsRNAi
1025,Otu818,1.92E-05,4,Soil near roots,RNAi,-4.717454134,4Soil near rootsRNAi
1026,Otu426,1.89E-05,4,Soil near roots,RNAi,-4.722831284,4Soil near rootsRNAi
1027,Otu4049,1.84E-05,4,Soil near roots,RNAi,-4.734503801,4Soil near rootsRNAi
1028,Otu11246,1.82E-05,4,Soil near roots,RNAi,-4.739469494,4Soil near rootsRNAi
1029,Otu533,1.90E-05,4,Soil near roots,RNAi,-4.720481802,4Soil near rootsRNAi
1030,Otu1100,1.90E-05,4,Soil near roots,RNAi,-4.721035281,4Soil near rootsRNAi
1031,Otu909,1.87E-05,4,Soil near roots,RNAi,-4.727533124,4Soil near rootsRNAi
1032,Otu648,1.88E-05,4,Soil near roots,RNAi,-4.725462411,4Soil near rootsRNAi
1033,Otu6679,1.92E-05,4,Soil near roots,RNAi,-4.717437486,4Soil near rootsRNAi
1034,Otu659,1.91E-05,4,Soil near roots,RNAi,-4.719273267,4Soil near rootsRNAi
1035,Otu769,1.87E-05,4,Soil near roots,RNAi,-4.728102062,4Soil near rootsRNAi
1036,Otu692,1.89E-05,4,Soil near roots,RNAi,-4.724038172,4Soil near rootsRNAi
1037,Otu925,1.86E-05,4,Soil near roots,RNAi,-4.730677322,4Soil near rootsRNAi
1038,Otu526,1.88E-05,4,Soil near roots,RNAi,-4.726564216,4Soil near rootsRNAi
1039,Otu4128,1.83E-05,4,Soil near roots,RNAi,-4.738495162,4Soil near rootsRNAi
1040,Otu1293,1.87E-05,4,Soil near roots,RNAi,-4.728467414,4Soil near rootsRNAi
1041,Otu764,1.56E-06,4,Soil near roots,RNAi,-5.806184045,4Soil near rootsRNAi
1042,Otu1479,1.87E-05,4,Soil near roots,RNAi,-4.727020442,4Soil near rootsRNAi
1043,Otu871,1.76E-05,4,Soil near roots,RNAi,-4.754348336,4Soil near rootsRNAi
1044,Otu528,1.85E-05,4,Soil near roots,RNAi,-4.731806261,4Soil near rootsRNAi
1045,Otu709,1.87E-05,4,Soil near roots,RNAi,-4.727158845,4Soil near rootsRNAi
1046,Otu10311,1.90E-05,4,Soil near roots,RNAi,-4.721785892,4Soil near rootsRNAi
1047,Otu863,1.91E-05,4,Soil near roots,RNAi,-4.718343886,4Soil near rootsRNAi
1048,Otu719,1.85E-05,4,Soil near roots,RNAi,-4.733197265,4Soil near rootsRNAi
1049,Otu2258,1.88E-05,4,Soil near roots,RNAi,-4.725478755,4Soil near rootsRNAi
1050,Otu1052,1.79E-05,4,Soil near roots,RNAi,-4.747994102,4Soil near rootsRNAi
1051,Otu662,1.93E-05,4,Soil near roots,RNAi,-4.715108779,4Soil near rootsRNAi
1052,Otu983,1.91E-05,4,Soil near roots,RNAi,-4.717878449,4Soil near rootsRNAi
1053,Otu562,1.82E-05,4,Soil near roots,RNAi,-4.740891417,4Soil near rootsRNAi
1054,Otu1302,1.83E-05,4,Soil near roots,RNAi,-4.736739022,4Soil near rootsRNAi
1055,Otu672,1.87E-05,4,Soil near roots,RNAi,-4.728118306,4Soil near rootsRNAi
1056,Otu1145,1.88E-05,4,Soil near roots,RNAi,-4.725192656,4Soil near rootsRNAi
1057,Otu1141,1.84E-05,4,Soil near roots,RNAi,-4.734775835,4Soil near rootsRNAi
1058,Otu3037,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1059,Otu525,1.85E-05,4,Soil near roots,RNAi,-4.732626929,4Soil near rootsRNAi
1060,Otu559,1.78E-05,4,Soil near roots,RNAi,-4.7500762,4Soil near rootsRNAi
1061,Otu814,1.78E-05,4,Soil near roots,RNAi,-4.750130248,4Soil near rootsRNAi
1062,Otu6183,1.87E-05,4,Soil near roots,RNAi,-4.727289065,4Soil near rootsRNAi
1063,Otu590,1.87E-05,4,Soil near roots,RNAi,-4.727858323,4Soil near rootsRNAi
1064,Otu800,1.88E-05,4,Soil near roots,RNAi,-4.725927959,4Soil near rootsRNAi
1065,Otu543,1.89E-05,4,Soil near roots,RNAi,-4.72320931,4Soil near rootsRNAi
1066,Otu901,1.90E-05,4,Soil near roots,RNAi,-4.72223893,4Soil near rootsRNAi
1067,Otu485,1.86E-05,4,Soil near roots,RNAi,-4.731338914,4Soil near rootsRNAi
1068,Otu497,1.90E-05,4,Soil near roots,RNAi,-4.720977488,4Soil near rootsRNAi
1069,Otu1316,1.94E-05,4,Soil near roots,RNAi,-4.712674951,4Soil near rootsRNAi
1070,Otu1339,1.87E-05,4,Soil near roots,RNAi,-4.727191403,4Soil near rootsRNAi
1071,Otu855,1.83E-05,4,Soil near roots,RNAi,-4.736364626,4Soil near rootsRNAi
1072,Otu762,1.86E-05,4,Soil near roots,RNAi,-4.730774203,4Soil near rootsRNAi
1073,Otu1104,1.86E-05,4,Soil near roots,RNAi,-4.73049965,4Soil near rootsRNAi
1074,Otu1109,1.76E-05,4,Soil near roots,RNAi,-4.753789817,4Soil near rootsRNAi
1075,Otu5029,1.56E-06,4,Soil near roots,RNAi,-5.806722503,4Soil near rootsRNAi
1076,Otu504,1.87E-05,4,Soil near roots,RNAi,-4.729253908,4Soil near rootsRNAi
1077,Otu1252,1.92E-05,4,Soil near roots,RNAi,-4.717287623,4Soil near rootsRNAi
1078,Otu651,1.83E-05,4,Soil near roots,RNAi,-4.738074653,4Soil near rootsRNAi
1079,Otu841,1.86E-05,4,Soil near roots,RNAi,-4.730523882,4Soil near rootsRNAi
1080,Otu1119,1.75E-05,4,Soil near roots,RNAi,-4.756522005,4Soil near rootsRNAi
1081,Otu1294,1.91E-05,4,Soil near roots,RNAi,-4.718534903,4Soil near rootsRNAi
1082,Otu728,1.91E-05,4,Soil near roots,RNAi,-4.719331287,4Soil near rootsRNAi
1083,Otu969,1.90E-05,4,Soil near roots,RNAi,-4.721051792,4Soil near rootsRNAi
1084,Otu573,1.87E-05,4,Soil near roots,RNAi,-4.728605356,4Soil near rootsRNAi
1085,Otu881,1.91E-05,4,Soil near roots,RNAi,-4.718077983,4Soil near rootsRNAi
