,OTU_ID,Bet_RAW,Date,Sample_type,Genotype,Betweenness_log,combine
1,Otu3,2461.600247,4,Soil near roots,WT,3.391235169,4Soil near rootsWT
2,Otu12,1346.402469,4,Soil near roots,WT,3.129207154,4Soil near rootsWT
3,Otu15,20.39444444,4,Soil near roots,WT,1.31163615,4Soil near rootsWT
4,Otu9,3392.737964,4,Soil near roots,WT,3.530563119,4Soil near rootsWT
5,Otu14,2708.207845,4,Soil near roots,WT,3.432698028,4Soil near rootsWT
6,Otu40,522.353007,4,Soil near roots,WT,2.718047233,4Soil near rootsWT
7,Otu24,14799.9118,4,Soil near roots,WT,4.170262062,4Soil near rootsWT
8,Otu68,0,4,Soil near roots,WT,-1,4Soil near rootsWT
9,Otu26,8540.45119,4,Soil near roots,WT,3.9314859,4Soil near rootsWT
10,Otu16,79.85746182,4,Soil near roots,WT,1.902858999,4Soil near rootsWT
11,Otu10,1454.471727,4,Soil near roots,WT,3.162735142,4Soil near rootsWT
12,Otu19,11,4,Soil near roots,WT,1.045322979,4Soil near rootsWT
13,Otu44,136.3959457,4,Soil near roots,WT,2.135119752,4Soil near rootsWT
14,Otu71,15613.13844,4,Soil near roots,WT,4.193492992,4Soil near rootsWT
15,Otu65,2246.088125,4,Soil near roots,WT,3.351446127,4Soil near rootsWT
16,Otu29,1401.86095,4,Soil near roots,WT,3.146735917,4Soil near rootsWT
17,Otu1055,0,4,Soil near roots,WT,-1,4Soil near rootsWT
18,Otu159,9680.933423,4,Soil near roots,WT,3.98592172,4Soil near rootsWT
19,Otu20,4808.014972,4,Soil near roots,WT,3.681974844,4Soil near rootsWT
20,Otu54,0,4,Soil near roots,WT,-1,4Soil near rootsWT
21,Otu77,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
22,Otu69,348.0876717,4,Soil near roots,WT,2.54181339,4Soil near rootsWT
23,Otu48,8233.533438,4,Soil near roots,WT,3.915591528,4Soil near rootsWT
24,Otu116,122.2684982,4,Soil near roots,WT,2.08766963,4Soil near rootsWT
25,Otu87,107.2365079,4,Soil near roots,WT,2.030747462,4Soil near rootsWT
26,Otu49,2148.507966,4,Soil near roots,WT,3.332157181,4Soil near rootsWT
27,Otu37,1984.492647,4,Soil near roots,WT,3.297671378,4Soil near rootsWT
28,Otu32,614.3274193,4,Soil near roots,WT,2.788470588,4Soil near rootsWT
29,Otu238,1352.530956,4,Soil near roots,WT,3.131179322,4Soil near rootsWT
30,Otu105,50477.34263,4,Soil near roots,WT,4.703097344,4Soil near rootsWT
31,Otu430,2108.604975,4,Soil near roots,WT,3.324015823,4Soil near rootsWT
32,Otu33,618.0465813,4,Soil near roots,WT,2.791091472,4Soil near rootsWT
33,Otu425,0,4,Soil near roots,WT,-1,4Soil near rootsWT
34,Otu99,0,4,Soil near roots,WT,-1,4Soil near rootsWT
35,Otu200,319.5,4,Soil near roots,WT,2.504606771,4Soil near rootsWT
36,Otu35,0,4,Soil near roots,WT,-1,4Soil near rootsWT
37,Otu64,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
38,Otu60,0,4,Soil near roots,WT,-1,4Soil near rootsWT
39,Otu61,0,4,Soil near roots,WT,-1,4Soil near rootsWT
40,Otu42,9,4,Soil near roots,WT,0.959041392,4Soil near rootsWT
41,Otu250,94.92876691,4,Soil near roots,WT,1.977855094,4Soil near rootsWT
42,Otu184,0,4,Soil near roots,WT,-1,4Soil near rootsWT
43,Otu58,0,4,Soil near roots,WT,-1,4Soil near rootsWT
44,Otu9870,0,4,Soil near roots,WT,-1,4Soil near rootsWT
45,Otu115,831.4285714,4,Soil near roots,WT,2.919877176,4Soil near rootsWT
46,Otu80,1021.076876,4,Soil near roots,WT,3.009100972,4Soil near rootsWT
47,Otu70,888,4,Soil near roots,WT,2.94846187,4Soil near rootsWT
48,Otu141,0,4,Soil near roots,WT,-1,4Soil near rootsWT
49,Otu196,0,4,Soil near roots,WT,-1,4Soil near rootsWT
50,Otu265,1106.5,4,Soil near roots,WT,3.043990666,4Soil near rootsWT
51,Otu161,0,4,Soil near roots,WT,-1,4Soil near rootsWT
52,Otu62,0,4,Soil near roots,WT,-1,4Soil near rootsWT
53,Otu148,1118.043581,4,Soil near roots,WT,3.048497575,4Soil near rootsWT
54,Otu47,0,4,Soil near roots,WT,-1,4Soil near rootsWT
55,Otu57,1768,4,Soil near roots,WT,3.247506824,4Soil near rootsWT
56,Otu2357,0,4,Soil near roots,WT,-1,4Soil near rootsWT
57,Otu118,0,4,Soil near roots,WT,-1,4Soil near rootsWT
58,Otu149,32603.96557,4,Soil near roots,WT,4.513271758,4Soil near rootsWT
59,Otu94,6647.411295,4,Soil near roots,WT,3.822659084,4Soil near rootsWT
60,Otu100,202.2090011,4,Soil near roots,WT,2.306015206,4Soil near rootsWT
61,Otu963,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
62,Otu832,1899.821626,4,Soil near roots,WT,3.278735686,4Soil near rootsWT
63,Otu197,338.9488019,4,Soil near roots,WT,2.530262214,4Soil near rootsWT
64,Otu88,50084,4,Soil near roots,WT,4.699699874,4Soil near rootsWT
65,Otu166,0,4,Soil near roots,WT,-1,4Soil near rootsWT
66,Otu72,0,4,Soil near roots,WT,-1,4Soil near rootsWT
67,Otu122,13.6031746,4,Soil near roots,WT,1.136821191,4Soil near rootsWT
68,Otu145,211.7135215,4,Soil near roots,WT,2.325953681,4Soil near rootsWT
69,Otu96,24,4,Soil near roots,WT,1.382017043,4Soil near rootsWT
70,Otu111,6828.712317,4,Soil near roots,WT,3.834345177,4Soil near rootsWT
71,Otu1821,0,4,Soil near roots,WT,-1,4Soil near rootsWT
72,Otu193,937.2919025,4,Soil near roots,WT,2.971921198,4Soil near rootsWT
73,Otu56,0,4,Soil near roots,WT,-1,4Soil near rootsWT
74,Otu107,0,4,Soil near roots,WT,-1,4Soil near rootsWT
75,Otu183,1318,4,Soil near roots,WT,3.11994836,4Soil near rootsWT
76,Otu176,0,4,Soil near roots,WT,-1,4Soil near rootsWT
77,Otu144,1087.100094,4,Soil near roots,WT,3.036309481,4Soil near rootsWT
78,Otu296,2,4,Soil near roots,WT,0.322219295,4Soil near rootsWT
79,Otu190,0,4,Soil near roots,WT,-1,4Soil near rootsWT
80,Otu1410,11281.71429,4,Soil near roots,WT,4.052378946,4Soil near rootsWT
81,Otu1257,1802.666008,4,Soil near roots,WT,3.255939361,4Soil near rootsWT
82,Otu132,1,4,Soil near roots,WT,0.041392685,4Soil near rootsWT
83,Otu242,0,4,Soil near roots,WT,-1,4Soil near rootsWT
84,Otu162,661.5,4,Soil near roots,WT,2.820595497,4Soil near rootsWT
85,Otu297,0,4,Soil near roots,WT,-1,4Soil near rootsWT
86,Otu156,920.694495,4,Soil near roots,WT,2.964162714,4Soil near rootsWT
87,Otu97,15090.67857,4,Soil near roots,WT,4.178711647,4Soil near rootsWT
88,Otu106,0,4,Soil near roots,WT,-1,4Soil near rootsWT
89,Otu81,7,4,Soil near roots,WT,0.851258349,4Soil near rootsWT
90,Otu82,0,4,Soil near roots,WT,-1,4Soil near rootsWT
91,Otu248,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
92,Otu85,546.8449215,4,Soil near roots,WT,2.737943594,4Soil near rootsWT
93,Otu102,0,4,Soil near roots,WT,-1,4Soil near rootsWT
94,Otu101,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
95,Otu388,129.2817559,4,Soil near roots,WT,2.111873041,4Soil near rootsWT
96,Otu157,0,4,Soil near roots,WT,-1,4Soil near rootsWT
97,Otu204,210.4219836,4,Soil near roots,WT,2.323297454,4Soil near rootsWT
98,Otu185,0,4,Soil near roots,WT,-1,4Soil near rootsWT
99,Otu117,0,4,Soil near roots,WT,-1,4Soil near rootsWT
100,Otu313,29,4,Soil near roots,WT,1.463892989,4Soil near rootsWT
101,Otu171,0,4,Soil near roots,WT,-1,4Soil near rootsWT
102,Otu1786,890.195161,4,Soil near roots,WT,2.949534013,4Soil near rootsWT
103,Otu147,1784.25,4,Soil near roots,WT,3.251480045,4Soil near rootsWT
104,Otu340,109.3531481,4,Soil near roots,WT,2.039228257,4Soil near rootsWT
105,Otu286,171.0297619,4,Soil near roots,WT,2.233325546,4Soil near rootsWT
106,Otu231,3859.826984,4,Soil near roots,WT,3.586579089,4Soil near rootsWT
107,Otu259,0,4,Soil near roots,WT,-1,4Soil near rootsWT
108,Otu308,47881,4,Soil near roots,WT,4.680164119,4Soil near rootsWT
109,Otu752,1005.717547,4,Soil near roots,WT,3.002519208,4Soil near rootsWT
110,Otu365,0,4,Soil near roots,WT,-1,4Soil near rootsWT
111,Otu112,35417.67345,4,Soil near roots,WT,4.549221256,4Soil near rootsWT
112,Otu11219,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
113,Otu413,0,4,Soil near roots,WT,-1,4Soil near rootsWT
114,Otu168,0,4,Soil near roots,WT,-1,4Soil near rootsWT
115,Otu303,0,4,Soil near roots,WT,-1,4Soil near rootsWT
116,Otu304,6,4,Soil near roots,WT,0.785329835,4Soil near rootsWT
117,Otu191,0,4,Soil near roots,WT,-1,4Soil near rootsWT
118,Otu347,7396.244492,4,Soil near roots,WT,3.869017131,4Soil near rootsWT
119,Otu374,827.5493673,4,Soil near roots,WT,2.917846387,4Soil near rootsWT
120,Otu8564,7622.491198,4,Soil near roots,WT,3.882102629,4Soil near rootsWT
121,Otu208,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
122,Otu155,2646.644818,4,Soil near roots,WT,3.422712071,4Soil near rootsWT
123,Otu120,50,4,Soil near roots,WT,1.699837726,4Soil near rootsWT
124,Otu154,0,4,Soil near roots,WT,-1,4Soil near rootsWT
125,Otu241,0,4,Soil near roots,WT,-1,4Soil near rootsWT
126,Otu212,5619.324997,4,Soil near roots,WT,3.749691879,4Soil near rootsWT
127,Otu173,0,4,Soil near roots,WT,-1,4Soil near rootsWT
128,Otu606,889,4,Soil near roots,WT,2.94895061,4Soil near rootsWT
129,Otu361,1280.089486,4,Soil near roots,WT,3.107274256,4Soil near rootsWT
130,Otu125,889,4,Soil near roots,WT,2.94895061,4Soil near rootsWT
131,Otu511,0,4,Soil near roots,WT,-1,4Soil near rootsWT
132,Otu432,1745.575895,4,Soil near roots,WT,3.241963615,4Soil near rootsWT
133,Otu392,0,4,Soil near roots,WT,-1,4Soil near rootsWT
134,Otu281,824.5241218,4,Soil near roots,WT,2.916256035,4Soil near rootsWT
135,Otu4383,0,4,Soil near roots,WT,-1,4Soil near rootsWT
136,Otu375,1332,4,Soil near roots,WT,3.124536828,4Soil near rootsWT
137,Otu135,0,4,Soil near roots,WT,-1,4Soil near rootsWT
138,Otu292,0,4,Soil near roots,WT,-1,4Soil near rootsWT
139,Otu1067,1194.582383,4,Soil near roots,WT,3.07725246,4Soil near rootsWT
140,Otu260,787.8333333,4,Soil near roots,WT,2.896489474,4Soil near rootsWT
141,Otu584,888,4,Soil near roots,WT,2.94846187,4Soil near rootsWT
142,Otu272,21,4,Soil near roots,WT,1.324282455,4Soil near rootsWT
143,Otu4057,0,4,Soil near roots,WT,-1,4Soil near rootsWT
144,Otu262,0,4,Soil near roots,WT,-1,4Soil near rootsWT
145,Otu178,0,4,Soil near roots,WT,-1,4Soil near rootsWT
146,Otu360,0,4,Soil near roots,WT,-1,4Soil near rootsWT
147,Otu604,1329.5,4,Soil near roots,WT,3.123721006,4Soil near rootsWT
148,Otu206,45355.57143,4,Soil near roots,WT,4.6566316,4Soil near rootsWT
149,Otu412,1355.713041,4,Soil near roots,WT,3.132199807,4Soil near rootsWT
150,Otu194,0.746843434,4,Soil near roots,WT,-0.072196875,4Soil near rootsWT
151,Otu391,0,4,Soil near roots,WT,-1,4Soil near rootsWT
152,Otu158,1,4,Soil near roots,WT,0.041392685,4Soil near rootsWT
153,Otu219,47965,4,Soil near roots,WT,4.680925354,4Soil near rootsWT
154,Otu192,0,4,Soil near roots,WT,-1,4Soil near rootsWT
155,Otu498,766.9846761,4,Soil near roots,WT,2.884843307,4Soil near rootsWT
156,Otu335,1453.068207,4,Soil near roots,WT,3.162315888,4Soil near rootsWT
157,Otu8921,1277.085202,4,Soil near roots,WT,3.106253878,4Soil near rootsWT
158,Otu734,889,4,Soil near roots,WT,2.94895061,4Soil near rootsWT
159,Otu348,0,4,Soil near roots,WT,-1,4Soil near rootsWT
160,Otu332,0,4,Soil near roots,WT,-1,4Soil near rootsWT
161,Otu3229,0,4,Soil near roots,WT,-1,4Soil near rootsWT
162,Otu339,0,4,Soil near roots,WT,-1,4Soil near rootsWT
163,Otu271,387.3938645,4,Soil near roots,WT,2.58826483,4Soil near rootsWT
164,Otu315,892.0656176,4,Soil near roots,WT,2.950445482,4Soil near rootsWT
165,Otu434,113.4421944,4,Soil near roots,WT,2.055157283,4Soil near rootsWT
166,Otu211,0,4,Soil near roots,WT,-1,4Soil near rootsWT
167,Otu229,0,4,Soil near roots,WT,-1,4Soil near rootsWT
168,Otu357,1331,4,Soil near roots,WT,3.124210683,4Soil near rootsWT
169,Otu577,0,4,Soil near roots,WT,-1,4Soil near rootsWT
170,Otu209,114.9833333,4,Soil near roots,WT,2.061012433,4Soil near rootsWT
171,Otu1211,5247.5,4,Soil near roots,WT,3.719960723,4Soil near rootsWT
172,Otu362,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
173,Otu846,0,4,Soil near roots,WT,-1,4Soil near rootsWT
174,Otu9521,486.183431,4,Soil near roots,WT,2.686889472,4Soil near rootsWT
175,Otu202,0,4,Soil near roots,WT,-1,4Soil near rootsWT
176,Otu552,0,4,Soil near roots,WT,-1,4Soil near rootsWT
177,Otu215,0,4,Soil near roots,WT,-1,4Soil near rootsWT
178,Otu502,4777.870859,4,Soil near roots,WT,3.679243497,4Soil near rootsWT
179,Otu479,0,4,Soil near roots,WT,-1,4Soil near rootsWT
180,Otu12720,0,4,Soil near roots,WT,-1,4Soil near rootsWT
181,Otu299,0,4,Soil near roots,WT,-1,4Soil near rootsWT
182,Otu548,24458,4,Soil near roots,WT,4.388422716,4Soil near rootsWT
183,Otu10871,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
184,Otu11847,0,4,Soil near roots,WT,-1,4Soil near rootsWT
185,Otu551,0,4,Soil near roots,WT,-1,4Soil near rootsWT
186,Otu3002,4117.22766,4,Soil near roots,WT,3.61461543,4Soil near rootsWT
187,Otu407,2,4,Soil near roots,WT,0.322219295,4Soil near rootsWT
188,Otu274,6928.148248,4,Soil near roots,WT,3.840623441,4Soil near rootsWT
189,Otu761,24,4,Soil near roots,WT,1.382017043,4Soil near rootsWT
190,Otu488,5691.758229,4,Soil near roots,WT,3.755254074,4Soil near rootsWT
191,Otu331,0,4,Soil near roots,WT,-1,4Soil near rootsWT
192,Otu275,0,4,Soil near roots,WT,-1,4Soil near rootsWT
193,Otu266,0,4,Soil near roots,WT,-1,4Soil near rootsWT
194,Otu1521,978.4010212,4,Soil near roots,WT,2.990561283,4Soil near rootsWT
195,Otu326,0,4,Soil near roots,WT,-1,4Soil near rootsWT
196,Otu311,0,4,Soil near roots,WT,-1,4Soil near rootsWT
197,Otu404,0,4,Soil near roots,WT,-1,4Soil near rootsWT
198,Otu585,0,4,Soil near roots,WT,-1,4Soil near rootsWT
199,Otu254,3273.948916,4,Soil near roots,WT,3.515085164,4Soil near rootsWT
200,Otu555,1,4,Soil near roots,WT,0.041392685,4Soil near rootsWT
201,Otu1202,4804,4,Soil near roots,WT,3.681612039,4Soil near rootsWT
202,Otu1414,0,4,Soil near roots,WT,-1,4Soil near rootsWT
203,Otu1467,0,4,Soil near roots,WT,-1,4Soil near rootsWT
204,Otu483,201.4661396,4,Soil near roots,WT,2.304417578,4Soil near rootsWT
205,Otu751,0,4,Soil near roots,WT,-1,4Soil near rootsWT
206,Otu486,0,4,Soil near roots,WT,-1,4Soil near rootsWT
207,Otu12704,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
208,Otu973,1078.213213,4,Soil near roots,WT,3.032744927,4Soil near rootsWT
209,Otu287,0,4,Soil near roots,WT,-1,4Soil near rootsWT
210,Otu406,6763.444142,4,Soil near roots,WT,3.830174329,4Soil near rootsWT
211,Otu8804,1475.617929,4,Soil near roots,WT,3.169003354,4Soil near rootsWT
212,Otu16854,445.5,4,Soil near roots,WT,2.648945182,4Soil near rootsWT
213,Otu744,0,4,Soil near roots,WT,-1,4Soil near rootsWT
214,Otu921,219.9418979,4,Soil near roots,WT,2.342505382,4Soil near rootsWT
215,Otu317,1084.448868,4,Soil near roots,WT,3.035249126,4Soil near rootsWT
216,Otu936,0,4,Soil near roots,WT,-1,4Soil near rootsWT
217,Otu462,911.6494589,4,Soil near roots,WT,2.959875514,4Soil near rootsWT
218,Otu16010,114.4736652,4,Soil near roots,WT,2.059084806,4Soil near rootsWT
219,Otu9549,8,4,Soil near roots,WT,0.908485019,4Soil near rootsWT
220,Otu603,0,4,Soil near roots,WT,-1,4Soil near rootsWT
221,Otu509,0,4,Soil near roots,WT,-1,4Soil near rootsWT
222,Otu722,0,4,Soil near roots,WT,-1,4Soil near rootsWT
223,Otu298,1223.648368,4,Soil near roots,WT,3.087692125,4Soil near rootsWT
224,Otu466,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
225,Otu327,0,4,Soil near roots,WT,-1,4Soil near rootsWT
226,Otu15569,656.2132126,4,Soil near roots,WT,2.817111147,4Soil near rootsWT
227,Otu675,0,4,Soil near roots,WT,-1,4Soil near rootsWT
228,Otu876,1505.241214,4,Soil near roots,WT,3.177634952,4Soil near rootsWT
229,Otu456,2615.804839,4,Soil near roots,WT,3.417621941,4Soil near rootsWT
230,Otu570,3034.804839,4,Soil near roots,WT,3.482145078,4Soil near rootsWT
231,Otu3551,0,4,Soil near roots,WT,-1,4Soil near rootsWT
232,Otu791,512.4436896,4,Soil near roots,WT,2.709730891,4Soil near rootsWT
233,Otu3926,6756.555825,4,Soil near roots,WT,3.829731797,4Soil near rootsWT
234,Otu473,0,4,Soil near roots,WT,-1,4Soil near rootsWT
235,Otu1005,0,4,Soil near roots,WT,-1,4Soil near rootsWT
236,Otu943,938.2798901,4,Soil near roots,WT,2.972378692,4Soil near rootsWT
237,Otu310,102.1960317,4,Soil near roots,WT,2.009858787,4Soil near rootsWT
238,Otu500,34.4,4,Soil near roots,WT,1.537819095,4Soil near rootsWT
239,Otu1301,0,4,Soil near roots,WT,-1,4Soil near rootsWT
240,Otu1529,125.5,4,Soil near roots,WT,2.098989639,4Soil near rootsWT
241,Otu10532,26.98754127,4,Soil near roots,WT,1.432769586,4Soil near rootsWT
242,Otu775,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
243,Otu522,11119.63095,4,Soil near roots,WT,4.046094279,4Soil near rootsWT
244,Otu793,1536.100894,4,Soil near roots,WT,3.186448014,4Soil near rootsWT
245,Otu667,434.535873,4,Soil near roots,WT,2.638125568,4Soil near rootsWT
246,Otu1825,47520,4,Soil near roots,WT,4.676877346,4Soil near rootsWT
247,Otu364,6823.47619,4,Soil near roots,WT,3.834012045,4Soil near rootsWT
248,Otu401,0,4,Soil near roots,WT,-1,4Soil near rootsWT
249,Otu540,0,4,Soil near roots,WT,-1,4Soil near rootsWT
250,Otu637,0,4,Soil near roots,WT,-1,4Soil near rootsWT
251,Otu950,471.9880937,4,Soil near roots,WT,2.674023047,4Soil near rootsWT
252,Otu569,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
253,Otu6409,0,4,Soil near roots,WT,-1,4Soil near rootsWT
254,Otu14441,0,4,Soil near roots,WT,-1,4Soil near rootsWT
255,Otu513,4360,4,Soil near roots,WT,3.63949645,4Soil near rootsWT
256,Otu295,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
257,Otu353,0,4,Soil near roots,WT,-1,4Soil near rootsWT
258,Otu341,298.930963,4,Soil near roots,WT,2.475716159,4Soil near rootsWT
259,Otu5299,1329,4,Soil near roots,WT,3.123557658,4Soil near rootsWT
260,Otu615,392.1810623,4,Soil near roots,WT,2.593597343,4Soil near rootsWT
261,Otu640,0,4,Soil near roots,WT,-1,4Soil near rootsWT
262,Otu330,3505,4,Soil near roots,WT,3.544700413,4Soil near rootsWT
263,Otu688,3602.726143,4,Soil near roots,WT,3.556643305,4Soil near rootsWT
264,Otu726,516.6166292,4,Soil near roots,WT,2.713252438,4Soil near rootsWT
265,Otu588,548.8324968,4,Soil near roots,WT,2.739518942,4Soil near rootsWT
266,Otu748,0,4,Soil near roots,WT,-1,4Soil near rootsWT
267,Otu503,0,4,Soil near roots,WT,-1,4Soil near rootsWT
268,Otu600,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
269,Otu458,0,4,Soil near roots,WT,-1,4Soil near rootsWT
270,Otu397,0,4,Soil near roots,WT,-1,4Soil near rootsWT
271,Otu448,49894.5,4,Soil near roots,WT,4.698053545,4Soil near rootsWT
272,Otu478,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
273,Otu329,11309.50541,4,Soil near roots,WT,4.053447453,4Soil near rootsWT
274,Otu431,603.3644231,4,Soil near roots,WT,2.780651672,4Soil near rootsWT
275,Otu673,268.1499104,4,Soil near roots,WT,2.428539586,4Soil near rootsWT
276,Otu632,1549.023007,4,Soil near roots,WT,3.190085904,4Soil near rootsWT
277,Otu1008,0,4,Soil near roots,WT,-1,4Soil near rootsWT
278,Otu898,24,4,Soil near roots,WT,1.382017043,4Soil near rootsWT
279,Otu442,3,4,Soil near roots,WT,0.491361694,4Soil near rootsWT
280,Otu480,415.4384007,4,Soil near roots,WT,2.618611164,4Soil near rootsWT
281,Otu747,354.741493,4,Soil near roots,WT,2.550034398,4Soil near rootsWT
282,Otu457,0,4,Soil near roots,WT,-1,4Soil near rootsWT
283,Otu541,8045.676945,4,Soil near roots,WT,3.905567988,4Soil near rootsWT
284,Otu586,0,4,Soil near roots,WT,-1,4Soil near rootsWT
285,Otu847,1373.25,4,Soil near roots,WT,3.137781232,4Soil near rootsWT
286,Otu730,42.42857143,4,Soil near roots,WT,1.628680795,4Soil near rootsWT
287,Otu6755,0,4,Soil near roots,WT,-1,4Soil near rootsWT
288,Otu836,3085.187994,4,Soil near roots,WT,3.489295709,4Soil near rootsWT
289,Otu926,42,4,Soil near roots,WT,1.624282096,4Soil near rootsWT
290,Otu8898,1286.822832,4,Soil near roots,WT,3.109552506,4Soil near rootsWT
291,Otu1009,3725.893831,4,Soil near roots,WT,3.571242132,4Soil near rootsWT
292,Otu437,0,4,Soil near roots,WT,-1,4Soil near rootsWT
293,Otu783,189.8478302,4,Soil near roots,WT,2.278634337,4Soil near rootsWT
294,Otu972,1293.33208,4,Soil near roots,WT,3.111743628,4Soil near rootsWT
295,Otu932,0,4,Soil near roots,WT,-1,4Soil near rootsWT
296,Otu801,8552.932428,4,Soil near roots,WT,3.932120119,4Soil near rootsWT
297,Otu1233,15.63723352,4,Soil near roots,WT,1.196928389,4Soil near rootsWT
298,Otu370,0,4,Soil near roots,WT,-1,4Soil near rootsWT
299,Otu12436,9,4,Soil near roots,WT,0.959041392,4Soil near rootsWT
300,Otu418,47425,4,Soil near roots,WT,4.676008255,4Soil near rootsWT
301,Otu1324,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
302,Otu959,30,4,Soil near roots,WT,1.478566496,4Soil near rootsWT
303,Otu940,0,4,Soil near roots,WT,-1,4Soil near rootsWT
304,Otu705,7.938017429,4,Soil near roots,WT,0.905148944,4Soil near rootsWT
305,Otu3263,0,4,Soil near roots,WT,-1,4Soil near rootsWT
306,Otu1523,9,4,Soil near roots,WT,0.959041392,4Soil near rootsWT
307,Otu583,95.08333333,4,Soil near roots,WT,1.97856091,4Soil near rootsWT
308,Otu818,2109.182957,4,Soil near roots,WT,3.324134844,4Soil near rootsWT
309,Otu426,8,4,Soil near roots,WT,0.908485019,4Soil near rootsWT
310,Otu731,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
311,Otu677,24457,4,Soil near roots,WT,4.388404959,4Soil near rootsWT
312,Otu4049,0,4,Soil near roots,WT,-1,4Soil near rootsWT
313,Otu11246,6781.50689,4,Soil near roots,WT,3.831332611,4Soil near rootsWT
314,Otu1100,2444.649366,4,Soil near roots,WT,3.388234342,4Soil near rootsWT
315,Otu6679,0.833333333,4,Soil near roots,WT,-0.029963223,4Soil near rootsWT
316,Otu692,0,4,Soil near roots,WT,-1,4Soil near rootsWT
317,Otu1400,0,4,Soil near roots,WT,-1,4Soil near rootsWT
318,Otu14602,7.373427458,4,Soil near roots,WT,0.873519823,4Soil near rootsWT
319,Otu526,0.5,4,Soil near roots,WT,-0.22184875,4Soil near rootsWT
320,Otu1479,307.6040543,4,Soil near roots,WT,2.488133218,4Soil near rootsWT
321,Otu695,0,4,Soil near roots,WT,-1,4Soil near rootsWT
322,Otu709,55.15048371,4,Soil near roots,WT,1.742336085,4Soil near rootsWT
323,Otu10311,0,4,Soil near roots,WT,-1,4Soil near rootsWT
324,Otu863,1938.242692,4,Soil near roots,WT,3.287430561,4Soil near rootsWT
325,Otu679,0,4,Soil near roots,WT,-1,4Soil near rootsWT
326,Otu3338,0,4,Soil near roots,WT,-1,4Soil near rootsWT
327,Otu1052,0,4,Soil near roots,WT,-1,4Soil near rootsWT
328,Otu732,0,4,Soil near roots,WT,-1,4Soil near rootsWT
329,Otu983,0,4,Soil near roots,WT,-1,4Soil near rootsWT
330,Otu510,2157.703148,4,Soil near roots,WT,3.334011822,4Soil near rootsWT
331,Otu1145,0,4,Soil near roots,WT,-1,4Soil near rootsWT
332,Otu559,12,4,Soil near roots,WT,1.08278537,4Soil near rootsWT
333,Otu733,0,4,Soil near roots,WT,-1,4Soil near rootsWT
334,Otu794,0,4,Soil near roots,WT,-1,4Soil near rootsWT
335,Otu859,0,4,Soil near roots,WT,-1,4Soil near rootsWT
336,Otu590,0,4,Soil near roots,WT,-1,4Soil near rootsWT
337,Otu485,840.2357528,4,Soil near roots,WT,2.924452841,4Soil near rootsWT
338,Otu571,0,4,Soil near roots,WT,-1,4Soil near rootsWT
339,Otu2341,0,4,Soil near roots,WT,-1,4Soil near rootsWT
340,Otu1109,10320.10277,4,Soil near roots,WT,4.01368823,4Soil near rootsWT
341,Otu490,0,4,Soil near roots,WT,-1,4Soil near rootsWT
342,Otu5029,0,4,Soil near roots,WT,-1,4Soil near rootsWT
343,Otu504,0,4,Soil near roots,WT,-1,4Soil near rootsWT
344,Otu5010,0,4,Soil near roots,WT,-1,4Soil near rootsWT
345,Otu1252,889,4,Soil near roots,WT,2.94895061,4Soil near rootsWT
346,Otu651,4,4,Soil near roots,WT,0.612783857,4Soil near rootsWT
347,Otu841,2653,4,Soil near roots,WT,3.42375362,4Soil near rootsWT
348,Otu9148,6,4,Soil near roots,WT,0.785329835,4Soil near rootsWT
349,Otu613,0,4,Soil near roots,WT,-1,4Soil near rootsWT
350,Otu881,0,4,Soil near roots,WT,-1,4Soil near rootsWT
351,Otu489,103.6666667,4,Soil near roots,WT,2.016057866,4Soil near rootsWT
352,Otu903,23.95440171,4,Soil near roots,WT,1.381194559,4Soil near rootsWT
353,Otu2148,0,4,Soil near roots,WT,-1,4Soil near rootsWT
354,Otu576,0,4,Soil near roots,WT,-1,4Soil near rootsWT
355,Otu930,439,4,Soil near roots,WT,2.642563437,4Soil near rootsWT
356,Otu1717,2042.493526,4,Soil near roots,WT,3.310181951,4Soil near rootsWT
357,Otu1251,1076.365113,4,Soil near roots,WT,3.031999959,4Soil near rootsWT
358,Otu492,888,4,Soil near roots,WT,2.94846187,4Soil near rootsWT
359,Otu482,10934.59842,4,Soil near roots,WT,4.03880681,4Soil near rootsWT
360,Otu753,0,4,Soil near roots,WT,-1,4Soil near rootsWT
