SampleID	Type	Site	Year	Plantstage	Line	Genotype2	Genotype	Treatment
TSR31	Endosphere	Field	2016	Boot	WT	WT	WT	NA
TSR32	Endosphere	Field	2016	Boot	WT	WT	WT	NA
TSR33	Endosphere	Field	2016	Boot	WT	WT	WT	NA
TSR34	Endosphere	Field	2016	Boot	WT	WT	WT	NA
TSR35	Endosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSR36	Endosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSR37	Endosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSR38	Endosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSR39	Endosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSR40	Endosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSR41	Endosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSR42	Endosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSR43	Endosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSR44	Endosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSR45	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSR46	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSR47	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSR48	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSR49	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSR50	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSR51	Endosphere	Field	2016	Grainfill	WT	WT	WT	NA
TSS1	Bulk soil	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSS2	Bulk soil	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSS3	Bulk soil	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSS4	Bulk soil	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSS5	Bulk soil	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSS6	Bulk soil	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSS7	Bulk soil	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSS8	Bulk soil	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSS9	Bulk soil	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSS10	Bulk soil	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSS11	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS12	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS13	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS14	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS15	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS16	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS17	Bulk soil	Field	2016	7leafstage	WT	WT	WT	NA
TSS21	Bulk soil	Field	2016	Boot	414-2	pks40	RNAi	NA
TSS22	Bulk soil	Field	2016	Boot	414-2	pks40	RNAi	NA
TSS23	Bulk soil	Field	2016	Boot	414-2	pks40	RNAi	NA
TSS24	Bulk soil	Field	2016	Boot	414-2	pks40	RNAi	NA
TSS25	Bulk soil	Field	2016	Boot	414-2	pks40	RNAi	NA
TSS26	Bulk soil	Field	2016	Boot	621-1	pks44	RNAi	NA
TSS27	Bulk soil	Field	2016	Boot	621-1	pks44	RNAi	NA
TSS28	Bulk soil	Field	2016	Boot	621-1	pks44	RNAi	NA
TSS29	Bulk soil	Field	2016	Boot	621-1	pks44	RNAi	NA
TSS30	Bulk soil	Field	2016	Boot	621-1	pks44	RNAi	NA
TSS31	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
TSS32	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
TSS33	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
TSS34	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
TSS35	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
TSS36	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
